Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
0,Guyana,Christopher Barnwell,Royal Challengers Bangalore,30.5,30.5,2013,Royal Challengers Bengaluru
1,South Africa,Johan Botha,Delhi Capitals,183.0,274.5,2013,Delhi Capitals
2,Australia,Daniel Christian,Royal Challengers Bangalore,61.0,61.0,2013,Royal Challengers Bengaluru
3,Australia,Michael Clarke,Pune Warriors India,244.0,244.0,2013,Pune Warriors India
4,Australia,Nathan Coulter-Nile,Mumbai Indians,61.0,274.5,2013,Mumbai Indians
5,Sri Lanka,Akila Dananjaya,Chennai Super Kings,12.2,12.2,2013,Chennai Super Kings
6,South Africa,Quinton de Kock,Sunrisers Hyderabad,12.2,12.2,2013,Sunrisers Hyderabad
7,Barbados,Fidel Edwards,Rajasthan Royals,61.0,128.1,2013,Rajasthan Royals
8,Australia,James Faulkner,Rajasthan Royals,61.0,244.0,2013,Rajasthan Royals
9,India,Manpreet Gony,Punjab Kings,122.0,305.0,2013,Punjab Kings
10,Australia,Moisés Henriques,Royal Challengers Bangalore,61.0,183.0,2013,Royal Challengers Bengaluru
11,Barbados,Jason Holder,Chennai Super Kings,12.2,12.2,2013,Chennai Super Kings
12,Australia,Phillip Hughes,Mumbai Indians,61.0,61.0,2013,Mumbai Indians
13,Australia,Ben Laughlin,Chennai Super Kings,12.2,12.2,2013,Chennai Super Kings
14,Australia,Glenn Maxwell,Mumbai Indians,122.0,610.0,2013,Mumbai Indians
15,New Zealand,Nathan McCullum,Sunrisers Hyderabad,61.0,61.0,2013,Sunrisers Hyderabad
16,Australia,Clint McKay,Sunrisers Hyderabad,61.0,61.0,2013,Sunrisers Hyderabad
17,South Africa,Ryan McLaren,Kolkata Knight Riders,30.5,30.5,2013,Kolkata Knight Riders
18,Sri Lanka,Ajantha Mendis,Pune Warriors India,30.5,442.25,2013,Pune Warriors India
19,Sri Lanka,Jeevan Mendis,Delhi Capitals,30.5,30.5,2013,Delhi Capitals
20,South Africa,Chris Morris,Chennai Super Kings,12.2,381.25,2013,Chennai Super Kings
21,Australia,Dirk Nannes,Chennai Super Kings,122.0,366.0,2013,Chennai Super Kings
22,India,Abhishek Nayar,Pune Warriors India,61.0,411.75,2013,Pune Warriors India
23,New Zealand,Jacob Oram,Mumbai Indians,30.5,30.5,2013,Mumbai Indians
24,Sri Lanka,Kusal Perera,Rajasthan Royals,12.2,12.2,2013,Rajasthan Royals
25,Sri Lanka,Thisara Perera,Sunrisers Hyderabad,30.5,411.75,2013,Sunrisers Hyderabad
